ut	field	country	funder_id	funder	Type	country_funder
000394920600075	Energy	DK	359	Danish Council for Independent Research	Public	DK
000394920600075	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000278247000018	Energy	DK	625	Energinet.dk	Private	DK
000284682700001	Energy	DK	667	EU	Public	Supranational
000284682700001	Energy	DK	1990	Technical University of Denmark	University	DK
000447168300019	Energy	DK	667	EU	Public	Supranational
000445711700063	Energy	DK	1535	NordForsk	Private	NO
000445711700063	Energy	DK	1648	Orsted A/S	Private	NA
000445711700063	Energy	DK	1757	Ramboll	Private	NA
000371549400015	Food science	DK	398	Danish Ministry of Food, Agriculture and Fisheries	Public	DK
000371549400015	Food science	DK	395	Danish Milk Levy Foundation	Public	DK
000372378100013	Energy	DK	2152	U.S. Department of Energy	Public	Other
000403986300001	Food science	DK	359	Danish Council for Independent Research	Public	DK
000403986300001	Food science	DK	360	Danish Council for Strategic Research	Public	DK
000375166400024	Food science	DK	244	China Scholarship Council (CSC)	Public	Other
000375166400024	Food science	DK	968	Innovation Fund Denmark	Public	DK
000336017400001	Energy	DK	360	Danish Council for Strategic Research	Public	DK
000336017400001	Energy	DK	476	DFF	NA	DK
